stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
672,u091094801,Zurbitu,Zurbitu,CONDADO DE TREVIÑO,42.7736,-2.7741,2,,0,,,0,0,0
673,u092760201,Villanueva de la Oca,Villanueva de la Oca,LA PUEBLA DE ARGANZÓN,42.775,-2.7986,2,,0,,,0,0,0
675,u010460101,Antezana de la Ribera,Antezana de la Ribera,RIBERA ALTA/ERRIBERA GOITIA,42.7706,-2.8747,3,,0,,,0,0,0
676,u010310303,Laserna  (TC),Laserna  (TC),LAGUARDIA,42.5023,-2.5057,8,,0,,,0,0,0
677,u010310101,EL CAMPILLAR,EL CAMPILLAR,LAGUARDIA,42.5167,-2.5219,8,,0,,,0,0,0
678,u010020901,Lezama (Bideko),Lezama (Bideko),AMURRIO,43.0282,-2.9719,4,,0,,,0,0,0
679,u010202001,ZUHATZU KUARTANGO,ZUHATZU KUARTANGO,KUARTANGO,42.8692,-2.8882,3,,0,,,0,0,0
680,u091920301,SAN ZADORNIL,SAN ZADORNIL,SAN MILLAN  DE SAN ZADORNIL,42.8414,-3.1583,4,,0,,,0,0,0
681,u010210202,Arbulu,Arbulu,ELBURGO/BURGELU,42.8728,-2.5664,2,,0,,,0,0,0
682,u010210501,Gazeta,Gazeta,ELBURGO/BURGELU,42.8418,-2.5399,2,,0,,,0,0,0
683,u010210101,Añua,Añua,ELBURGO/BURGELU,42.8313,-2.5397,2,,0,,,0,0,0
684,u010270401,Erentxun,Erentxun,IRURAIZ-GAUNA,42.8147,-2.5253,3,,0,,,0,0,0
685,u010270101,AZILU,AZILU,IRURAIZ-GAUNA,42.8295,-2.4772,3,,0,,,0,0,0
686,u010130401,Elgea,Elgea,BARRUNDIA,42.9323,-2.5144,2,,0,,,0,0,0
687,u010131101,Marieta-Larrintzar,Marieta-Larrintzar,BARRUNDIA,42.9238,-2.5405,2,,0,,,0,0,0
688,u010130701,Gebara,Gebara,BARRUNDIA,42.8916,-2.513,2,,0,,,0,0,0
689,u010130501,Etura,Etura,BARRUNDIA,42.8905,-2.4923,2,,0,,,0,0,0
690,u010130101,Audikana,Audikana,BARRUNDIA,42.8811,-2.4873,2,,0,,,0,0,0
691,u010130301,Etxabarri-Urtupiña,Etxabarri-Urtupiña,BARRUNDIA,42.8666,-2.5026,2,,0,,,0,0,0
692,u010130801,Heredia,Heredia,BARRUNDIA,42.8763,-2.4434,2,,0,,,0,0,0
693,u010130201,Dallo,Dallo,BARRUNDIA,42.871,-2.4696,2,,0,,,0,0,0
696,u010270301,Arrieta,Arrieta,IRURAIZ-GAUNA,42.8569,-2.4759,3,,0,,,0,0,0
697,u010270501,Ezkerekotxa,Ezkerekotxa,IRURAIZ-GAUNA,42.8464,-2.4545,3,,0,,,0,0,0
698,u010530301,Txintxetru,Txintxetru,SAN MILLÁN/DONEMILIAGA,42.8337,-2.4567,3,,0,,,0,0,0
700,u010270901,Jauregi,Jauregi,SAN MILLÁN/DONEMILIAGA,42.8086,-2.4629,3,,0,,,0,0,0
704,u010131701,Zuhatzola,Zuhatzola,BARRUNDIA,42.8975,-2.4466,2,,0,,,0,0,0
705,u010531501,Zuazo de San Millán/Zuhatzu Donemiliaga,Zuazo de San Millán/Zuhatzu Donemiliaga,SAN MILLÁN/DONEMILIAGA,42.8688,-2.4121,3,,0,,,0,0,0
706,u010090201,Ametzaga Asparrena,Ametzaga Asparrena,ASPARRENA,42.872,-2.3889,4,,0,,,0,0,0
707,u010530601,Luzuriaga,Luzuriaga,SAN MILLÁN/DONEMILIAGA,42.8839,-2.3944,3,,0,,,0,0,0
708,u010090101,Albeniz/Albeiz,Albeniz/Albeiz,ASPARRENA,42.8722,-2.3084,4,,0,,,0,0,0
709,u010090901,Ilarduia,Ilarduia,ASPARRENA,42.8709,-2.2872,4,,0,,,0,0,0
710,u010090601,Egino,Egino,ASPARRENA,42.8683,-2.2645,4,,0,,,0,0,0
711,u010090301,Andoin,Andoin,ASPARRENA,42.8575,-2.2674,4,,0,,,0,0,0
712,u010090801,Ibarguren,Ibarguren,ASPARRENA,42.8599,-2.2792,4,,0,,,0,0,0
713,u010091001,Urabain,Urabain,ASPARRENA,42.8614,-2.2956,4,,0,,,0,0,0
714,u010531201,San Román de San Millán/Durruma,San Román de San Millán/Durruma,SAN MILLÁN/DONEMILIAGA,42.8636,-2.3143,3,,0,,,0,0,0
715,u010530401,Eguilaz/Egilatz,Eguilaz/Egilatz,SAN MILLÁN/DONEMILIAGA,42.8613,-2.3348,3,,0,,,0,0,0
716,u010531401,Bikuña,Bikuña,SAN MILLÁN/DONEMILIAGA,42.8495,-2.3379,3,,0,,,0,0,0
717,u010530701,Mezkia,Mezkia,SAN MILLÁN/DONEMILIAGA,42.8617,-2.3554,3,,0,,,0,0,0
718,u010530801,Munain,Munain,SAN MILLÁN/DONEMILIAGA,42.8456,-2.3584,3,,0,,,0,0,0
719,u010531001,Okariz,Okariz,SAN MILLÁN/DONEMILIAGA,42.8364,-2.3605,3,,0,,,0,0,0
720,u010510501,Opakua,Opakua,SALVATIERRA/AGURAIN,42.8255,-2.3608,3,,0,,,0,0,0
721,u010510201,Arrizala,Arrizala,SALVATIERRA/AGURAIN,42.8269,-2.3744,3,,0,,,0,0,0
722,u010510101,Alangua,Alangua,SALVATIERRA/AGURAIN,42.8139,-2.3776,3,,0,,,0,0,0
723,u010510301,Egileor,Egileor,SALVATIERRA/AGURAIN,42.8184,-2.3906,3,,0,,,0,0,0
724,u010160201,Arluzea,Arluzea,BERNEDO,42.7273,-2.5433,4,,0,,,0,0,0
725,u010160601,Markinez,Markinez,BERNEDO,42.7024,-2.5645,4,,0,,,0,0,0
726,u091094201,Sáseta,Sáseta,MIRANDA DE EBRO,42.7193,-2.5953,4,,0,,,0,0,0
727,u010161101,Urarte,Urarte,BERNEDO,42.6994,-2.5932,4,,0,,,0,0,0
728,u091093401,Pariza,Pariza,CONDADO DE TREVIÑO,42.6933,-2.6177,2,,0,,,0,0,0
729,u091092201,Laño,Laño,CONDADO DE TREVIÑO,42.6641,-2.6205,2,,0,,,0,0,0
730,u091091801,Fuidio,Fuidio,CONDADO DE TREVIÑO,42.6927,-2.6493,2,,0,,,0,0,0
731,u010440201,Faido / Faidu,Faido / Faidu,PEÑACERRADA-URIZAHARRA,42.6679,-2.6565,3,,0,,,0,0,0
732,u091092501,Mesanza,Mesanza,CONDADO DE TREVIÑO,42.6789,-2.66,2,,0,,,0,0,0
733,u091093601,Samiano,Samiano,CONDADO DE TREVIÑO,42.6931,-2.6647,2,,0,,,0,0,0
734,u091093801,San Martín Galvarín,San Martín Galvarín,CONDADO DE TREVIÑO,42.6805,-2.6892,2,,0,,,0,0,0
735,u091094401,Torre,Torre,CONDADO DE TREVIÑO,42.694,-2.6737,2,,0,,,0,0,0
736,u091090201,Ajarte,Ajarte,CONDADO DE TREVIÑO,42.7538,-2.6326,2,,0,,,0,0,0
737,u091090101,Aguillo,Aguillo,CONDADO DE TREVIÑO,42.7379,-2.638,2,,0,,,0,0,0
738,u091092301,Marauri,Marauri,CONDADO DE TREVIÑO,42.7224,-2.6415,2,,0,,,0,0,0
739,u091093101,Ogueta,Ogueta,CONDADO DE TREVIÑO,42.7117,-2.6453,2,,0,,,0,0,0
740,u091094101,Saraso,Saraso,CONDADO DE TREVIÑO,42.7148,-2.6631,2,,0,,,0,0,0
741,u091093501,Pedruzo,Pedruzo,CONDADO DE TREVIÑO,42.7144,-2.6929,2,,0,,,0,0,0
742,u091094001,San Vicentejo,San Vicentejo,CONDADO DE TREVIÑO,42.7502,-2.6784,2,,0,,,0,0,0
743,u091092101,Imíruri,Imíruri,CONDADO DE TREVIÑO,42.7401,-2.6752,2,,0,,,0,0,0
744,u091094601,Uzquiano (Treviño),Uzquiano (Treviño),CONDADO DE TREVIÑO,42.7401,-2.6852,2,,0,,,0,0,0
745,u091094501,TREVIÑO,TREVIÑO,CONDADO DE TREVIÑO,42.7337,-2.7498,2,,0,,,0,0,0
746,u091094701,Villanueva de Tobera,Villanueva de Tobera,CONDADO DE TREVIÑO,42.687,-2.7662,2,,0,,,0,0,0
747,u091093201,Ozana,Ozana,CONDADO DE TREVIÑO,42.7118,-2.7937,2,,0,,,0,0,0
748,u091090501,Araico,Araico,CONDADO DE TREVIÑO,42.7203,-2.771,2,,0,,,0,0,0
749,u091092001,Grandival,Grandival,CONDADO DE TREVIÑO,42.7146,-2.7838,2,,0,,,0,0,0
750,u091091301,Busto,Busto,CONDADO DE TREVIÑO,42.7492,-2.7614,2,,0,,,0,0,0
751,u091091901,Golernio,Golernio,CONDADO DE TREVIÑO,42.7649,-2.7554,2,,0,,,0,0,0
752,u091091602,Meana,Meana,CONDADO DE TREVIÑO,42.777,-2.7405,2,,0,,,0,0,0
753,u091091601,Doroño,Doroño,CONDADO DE TREVIÑO,42.7748,-2.7307,2,,0,,,0,0,0
754,u091090901,Arrieta (Treviño),Arrieta (Treviño),CONDADO DE TREVIÑO,42.7663,-2.7252,2,,0,,,0,0,0
755,u091091001,Askartza,Askartza,CONDADO DE TREVIÑO,42.7612,-2.7071,2,,0,,,0,0,0
756,u091091401,Cucho,Cucho,CONDADO DE TREVIÑO,42.7369,-2.7715,2,,0,,,0,0,0
757,u091090502,Uralde,Uralde,CONDADO DE TREVIÑO,42.7266,-2.7801,2,,0,,,0,0,0
758,u091092701,Moscador,Moscador,CONDADO DE TREVIÑO,42.7113,-2.7249,2,,0,,,0,0,0
759,u091091501,Dordóniz,Dordóniz,CONDADO DE TREVIÑO,42.716,-2.7357,2,,0,,,0,0,0
760,u091091701,Franco,Franco,CONDADO DE TREVIÑO,42.7224,-2.712,2,,0,,,0,0,0
761,u091090802,Armentia,Armentia,CONDADO DE TREVIÑO,42.7144,-2.7037,2,,0,,,0,0,0
762,u010161001,San Román de Campezo/Durruma Kanpezu,San Román de Campezo/Durruma Kanpezu,BERNEDO,42.6693,-2.4439,4,,0,,,0,0,0
763,u010370701,Korres,Korres,ARRAIA-MAEZTU,42.6991,-2.4339,3,,0,,,0,0,0
764,u010371201,Onraita/Erroeta,Onraita/Erroeta,ARRAIA-MAEZTU,42.7951,-2.3961,3,,0,,,0,0,0
765,u010371301,Róitegui/Erroitegi,Róitegui/Erroitegi,ARRAIA-MAEZTU,42.7794,-2.3832,3,,0,,,0,0,0
766,u010371401,Sabando,Sabando,ARRAIA-MAEZTU,42.7494,-2.4005,3,,0,,,0,0,0
767,u010371801,Ibisate,Ibisate,ARRAIA-MAEZTU,42.7677,-2.413,3,,0,,,0,0,0
768,u010371601,Arenaza/Areatza,Arenaza/Areatza,ARRAIA-MAEZTU,42.7628,-2.4214,3,,0,,,0,0,0
769,u010372001,Musitu,Musitu,ARRAIA-MAEZTU,42.7778,-2.4231,3,,0,,,0,0,0
770,u010371701,Cicujano/Zekuiano,Cicujano/Zekuiano,ARRAIA-MAEZTU,42.7535,-2.4392,3,,0,,,0,0,0
771,u010371501,Aletxa,Aletxa,ARRAIA-MAEZTU,42.7559,-2.4508,3,,0,,,0,0,0
772,u010371901,Leorza/Elortza,Leorza/Elortza,ARRAIA-MAEZTU,42.749,-2.444,3,,0,,,0,0,0
773,u010370201,Apellániz/Apilaiz,Apellániz/Apilaiz,ARRAIA-MAEZTU,42.7306,-2.4804,3,,0,,,0,0,0
774,u010170201,Bujanda,Bujanda,CAMPEZO/KANPEZU,42.6749,-2.4052,4,,0,,,0,0,0
775,u010560201,Kontrasta,Kontrasta,VALLE DE ARANA/HARANA,42.77,-2.2949,4,,0,,,0,0,0
776,u010560401,Ullibarri Arana/Uribarri Harana,Ullibarri Arana/Uribarri Harana,VALLE DE ARANA/HARANA,42.7596,-2.3203,4,,0,,,0,0,0
777,u010560101,ALDA,ALDA,VALLE DE ARANA/HARANA,42.7526,-2.3317,4,,0,,,0,0,0
778,u010560301,San Vicente de Arana/Done Bikendi Harana,San Vicente de Arana/Done Bikendi Harana,VALLE DE ARANA/HARANA,42.7438,-2.3612,4,,0,,,0,0,0
779,u010170401,Oteo,Oteo,CAMPEZO/KANPEZU,42.7162,-2.3659,4,,0,,,0,0,0
780,u010170301,Orbiso,Orbiso,CAMPEZO/KANPEZU,42.6949,-2.3347,4,,0,,,0,0,0
781,u010160101,Angostina,Angostina,BERNEDO,42.6352,-2.4695,4,,0,,,0,0,0
782,u010160901,Quintana,Quintana,BERNEDO,42.6582,-2.4772,4,,0,,,0,0,0
783,u010300201,Pipaón,Pipaón,LAGRAN,42.6152,-2.643,4,,0,,,0,0,0
